Heart_rate,Max_volume,Min_volume,Endsys_volume,Enddiast_volume,Max_preassure,Min_preassure,Endsys_preassure,Enddiast_preassure,Stroke_vol,Eject_F,Cardiac_output,Stroke_work,Art_elastance,dPdt_max,dPdt_min,dVdt_max,dVdt_min,PdVdt_max,PdPdt_max,VdPdt_max,VdPdt_min,Tau_w,Tau_g,Max_power,PAMP,Group
426,174.81,102.84,103.84,150.44,115.95,-0.89,101.69,0.16,71.97,41.17,30625.14,6311,1.41,16834,-7534,6845,-9103,102.75,39.39,169.15,103.09,6.54,11.57,111.72,49.36,Control
426,174.3,99.82,100.51,165.26,114.18,0.16,99.68,3.38,74.48,42.73,31693.97,6081,1.34,16021,-7674,6718,-8607,101.32,37.5,168.91,101.52,7.62,11.28,113.44,41.54,Control
429,177.88,101.33,105.22,172.42,118.46,2.27,103.18,2.85,76.55,43.03,32807.47,6984,1.35,15927,-7721,4769,-11366,92.83,49.85,171.98,101.33,7.61,11.53,144.69,48.67,Control
426,184.42,105.98,114.65,168.15,121.95,2.02,114.77,2.66,78.44,42.53,33378.34,7394,1.46,16021,-8190,4267,-11239,101.55,46.28,177.95,105.98,7.72,12.06,152.54,53.95,Control
429,178.89,104.59,115.4,163.82,121.65,-0.14,114.99,0.11,74.3,41.53,31842.54,6975,1.55,15489,-7987,4775,-9986,97.6,40.11,174.43,105.54,7.06,11.78,147.83,55.09,Control
426,178.76,102.9,105.66,151.26,118.31,-0.78,103.41,-0.14,75.87,42.44,32283.76,6891,1.36,17021,-7862,5841,-8600,97.74,43.33,171.73,102.9,6.57,11.87,125.11,54.68,Control
429,173.74,101.14,102.15,162.25,114.46,-0.14,99.97,3.64,72.6,41.79,31113.66,5888,1.38,17396,-7534,6591,-9042,97.78,45.88,165.45,102.21,7.5,11.76,113.03,42.94,Control
429,174.81,99.01,103.09,169.53,118.17,2.57,102.52,3,75.8,43.36,32485.82,6836,1.35,16583,-8081,6658,-10114,98.36,44.35,169.66,99.26,7.48,10.99,132.68,46.17,Control
429,182.41,104.53,114.96,169.09,121.21,2.25,113.95,2.79,77.88,42.69,33375.53,7230,1.46,16099,-8128,3704,-11306,100.22,45.22,177.13,104.53,7.84,12.07,162.97,57,Control
426,181.02,104.85,114.83,166.14,122.25,0.85,115.43,1.16,76.18,42.08,32415.11,7113,1.52,16240,-8128,5713,-11996,99.57,43.17,175.37,104.85,7.4,12.22,145.45,52.69,Control
429,177.76,104.22,107.3,155.15,119.71,-0.67,105.33,-0.4,73.54,41.37,31518.31,6850,1.43,15052,-8128,5272,-9611,102.96,50.33,169.66,104.59,6.54,11.61,122.22,50.78,Control
426,174.68,102.27,102.27,154.02,114.93,-0.4,99.64,3.33,72.4,41.45,30810.58,6062,1.38,16740,-7502,7977,-7227,102.15,38.5,168.15,103.9,7.08,11.9,101.57,42.81,Control
429,169.72,98,99.7,165.39,117.06,2.5,101.16,3.08,71.72,42.26,30737.55,6334,1.41,16693,-7768,6028,-9732,100.86,49.41,163.44,98.32,7.41,10.75,132.47,48.43,Control
429,179.45,104.85,106.48,168.91,118.99,2.22,103.9,2.64,74.61,41.57,31974.83,6917,1.39,15208,-7784,4079,-11306,109.96,50.11,172.67,104.91,7.6,11.62,144.49,50.65,Control
429,181.21,105.03,114.77,164.44,121.78,1.08,114.63,1.27,76.18,42.04,32646.65,7195,1.5,16224,-7784,5720,-11245,101.21,45.88,174.56,105.09,7.52,12.11,154.14,57,Control
